asset_id_base,rates
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BBC', 'rate': 1842401.6587051786}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BBF', 'rate': 94050.96430374414}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BBP', 'rate': 283795514.2363651}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCC', 'rate': 224.6597553861398}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCD', 'rate': 151025.80877642345}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCH', 'rate': 219.24912381796244}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCH3L', 'rate': 1714.97088395611}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCH3S', 'rate': 54063.307150570065}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCH5L', 'rate': 140222.41590293203}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCH5S', 'rate': 84851.25415103463}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCHABC', 'rate': 902971270.2699437}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCHN', 'rate': 219.48440191950496}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCHSV', 'rate': 753.2948581841068}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BCN', 'rate': 883526505.7740573}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'BDOT', 'rate': 5401.949088632165}"
